adresse_complete;cp_ville
43 BD JOFFRE;77300 FONTAINEBLEAU
39 R DU FAUBOURG DE CHARTES;91410 DOURDAN
1 R BASSET;78300 POISSY
15 AV AUGUSTE RENOIR;78160 MARLY LE ROI
R DU CREUX DE LA BORNE;91690 SACLAS
12 R PORTE DE BUC;78000 VERSAILLES
26 AV CHARLES DE GAULLE;91152 ETAMPES CEDEX
43 R DE LA HALTE;95120 ERMONT
11 R DES VALLEES;92290 CHATENAY MALABRY
5 AV DU DOCTEUR FLEMING;92600 ASNIERES SUR SEINE
29 AV DE PARIS;95600 EAUBONNE
36 R DE LA VILLETTE;75019 PARIS
50 BD DE LA BOISSIERE;93100 MONTREUIL
1T R SAINT LOUIS;93250 VILLEMOMBLE
PL CHARLES DE GAULLE;77410 CLAYE SOUILLY
6 R JULES FERRY;77130 MONTEREAU FAULT YONNE
15 R PROFESSEUR MARILLER;78690 ST REMY L HONORE
20 AV MAURICE BERTEAUX;78502 SARTROUVILLE CEDEX
9 R THOMAS LEMAITRE;92000 NANTERRE
5B AV FOCH;95240 CORMEILLES EN PARISIS
142 R DE LA PORTE TRIVAUX;92140 CLAMART
7 ALL DE VERRIERES;92290 CHATENAY MALABRY
57 AV DE LA DIVISION LECLERC;92290 CHATENAY MALABRY
17 AV DE VERDUN;92330 SCEAUX
19 R OUDINOT;75007 PARIS
12 VLA COMPOINT;75017 PARIS
12  PLATEAU DES GLIERES;91210 DRAVEIL
26 AV HONORINE;93700 DRANCY
16 R DUBREUIL;93140 BONDY
19 R EMILE RONNE;77290 MITRY MORY
R FRETEAU DE PENY;77000 MELUN
10B TSSE D'ALEMBERT;77130 MONTEREAU FAULT YONNE
20 R ARMAGIS;78101 ST GERMAIN EN LAYE CEDEX
49 R DU PARC DE CLAGNY;78009 VERSAILLES CEDEX
15 AV DE LA LIBERATION;95240 CORMEILLES EN PARISIS
